period,total_new_buildings,cells_with_new,max_per_cell,mean_per_cell
2015-06-30,99477,1367,704,46.26837209302325
2015-12-27,12318,261,555,5.729302325581395
2016-06-24,8208,398,302,3.817674418604651
2016-12-21,1340,365,56,0.6232558139534884
2017-06-19,2147,256,289,0.9986046511627907
2017-12-16,459,99,92,0.21348837209302327
2018-06-14,426,124,35,0.19813953488372094
2018-12-11,156,51,22,0.07255813953488371
2019-06-09,251,97,15,0.11674418604651163
2019-12-06,372,103,69,0.17302325581395347
2020-06-03,458,103,59,0.21302325581395348
2020-11-30,233,84,15,0.10837209302325582
2021-05-29,829,229,58,0.38558139534883723
2021-11-25,745,123,121,0.34651162790697676
2022-05-24,431,108,64,0.20046511627906977
2022-11-20,427,139,41,0.1986046511627907
2023-05-19,1410,258,46,0.6558139534883721
2023-11-15,750,195,48,0.3488372093023256
2024-05-13,707,149,44,0.3288372093023256
2024-11-09,697,159,71,0.3241860465116279
2025-01-01,326,79,61,0.1516279069767442
